Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,-1.0,2,-1.0,2
2,-0.5,9,-1.5,11
3,-1.0,17,-2.5,28
4,-6.0,55,-8.5,83
5,1.0,31,-7.5,114
6,-2.0,18,-9.5,132
7,-2.4,14,-11.9,146
8,-2.666666666666667,20,-14.566666666666666,166
9,6.0,25,-8.566666666666666,191
10,-1.8888888888888888,32,-10.455555555555556,223
11,7.0,25,-3.4555555555555557,248
12,6.666666666666667,49,3.2111111111111112,297
13,-2.533333333333333,64,0.677777777777778,361
14,3.6,15,4.277777777777779,376
15,3.7,49,7.977777777777779,425
16,2.0,20,9.977777777777778,445
17,0.0,14,9.977777777777778,459
18,12.5,29,22.477777777777778,488
19,5.0,21,27.477777777777778,509
20,-7.638095238095238,43,19.839682539682542,552
21,0.0,12,19.839682539682542,564
22,0.0,10,19.839682539682542,574
23,1.5,25,21.339682539682542,599
24,3.833333333333333,26,25.173015873015874,625
25,1.4,50,26.573015873015873,675
26,-2.333333333333334,19,24.23968253968254,694
27,-2.3333333333333335,22,21.90634920634921,716
28,0.0,17,21.90634920634921,733
29,-10.25,40,11.656349206349208,773
30,6.0,17,17.65634920634921,790
31,2.6,13,20.25634920634921,803
32,5.0,64,25.25634920634921,867
33,4.0,26,29.25634920634921,893
34,-1.0666666666666669,27,28.189682539682543,920
35,-4.0,16,24.189682539682543,936
36,3.5,24,27.689682539682543,960
37,2.3333333333333335,16,30.023015873015876,976
38,0.0,12,30.023015873015876,988
39,0.0,7,30.023015873015876,995
